eTransportation,ETRANSPORTATION,ELSEVIER,2590-1168,2590-1168.1,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"3,075",15,Q1,2.32,20.23%,Unnamed: 12
Automotive Innovation,AUTOMOTIVE INNOV,SPRINGERNATURE,2096-4250,2522-8765,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,685,4.8,Q1,1.06,40%,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,WILEY,1093-9687,1467-8667,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"8,708",8.5,Q1,1.77,26.32%,
Communications in Transportation Research,COMMUN TRANSP RES,ELSEVIER,2772-4247,2772-4247,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,610,12.5,Q1,2.71,85.94%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
EURO Journal on Transportation and Logistics,EURO J TRANSP LOGIST,ELSEVIER,2192-4376,2192-4384,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,643,2.1,Q3,0.47,97.06%,
European Transport Research Review,EUR TRANSP RES REV,SPRINGER,1867-0717,1866-8887,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"1,939",5.1,Q1,0.97,100%,
Frontiers in Future Transportation,FRONT FUTURE TRANSP,FRONTIERS MEDIA SA,,2673-5210,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,98,1.3,Q3,0.27,100%,
IEEE Intelligent Transportation Systems Magazine,IEEE INTEL TRANSP SY,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1939-1390,1941-1197,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"2,459",4.3,Q2,1.1,1%,
IEEE Open Journal of Intelligent Transportation Systems,IEEE OPEN J INTEL TR,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,2687-7813,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,595,4.6,Q2,0.84,98.8%,
IEEE Open Journal of Vehicular Technology,IEEE OPEN J VEH TECH,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,2644-1330,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,538,5.3,Q1,1.12,97.44%,
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,IEEE T INTELL TRANSP,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1524-9050,1558-0016,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"47,877",7.9,Q1,2.0,8.41%,
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,IEEE T VEH TECHNOL,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0018-9545,1939-9359,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"53,563",6.1,Q1,1.49,4.9%,
IEEE Transactions on Intelligent Vehicles,IEEE T INTELL VEHICL,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2379-8858,2379-8904,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"5,936",14.0,Q1,2.44,6.87%,
IEEE Transactions on Transportation Electrification,IEEE T TRANSP ELECTR,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2332-7782,2332-7782,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"10,253",7.2,Q1,1.64,4.44%,
IEEE Vehicular Technology Magazine,IEEE VEH TECHNOL MAG,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1556-6072,1556-6080,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"2,995",5.8,Q1,1.65,6.11%,
IET Electrical Systems in Transportation,IET ELECTR SYST TRAN,WILEY-HINDAWI,2042-9738,2042-9746,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,643,1.9,Q3,0.46,79.55%,
IET Intelligent Transport Systems,IET INTELL TRANSP SY,WILEY,1751-956X,1751-9578,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"3,595",2.3,Q2,0.55,80.66%,
INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,INT J AUTO TECH-KOR,KOREAN SOC AUTOMOTIVE ENGINEERS-KSAE,1229-9138,1976-3832,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"2,290",1.5,Q3,0.34,0%,
INTERNATIONAL JOURNAL OF VEHICLE DESIGN,INT J VEHICLE DES,INDERSCIENCE ENTERPRISES LTD,0143-3369,1741-5314,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,875,0.6,Q4,0.15,38.76%,
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,ITE J,INST TRANSPORTATION ENGINEERS,0162-8178,,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,400,0.3,Q4,0.07,0%,
Infrastructures,INFRASTRUCTURES-BASE,MDPI,,2412-3811,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,"1,865",2.7,Q2,0.54,99.81%,
International Journal of Electric and Hybrid Vehicles,INT J ELECTR HYBRID,INDERSCIENCE ENTERPRISES LTD,1751-4088,1751-4096,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,170,0.4,Q4,0.1,0%,
International Journal of Engine Research,INT J ENGINE RES,SAGE PUBLICATIONS LTD,1468-0874,2041-3149,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"3,090",2.2,Q3,0.53,5.88%,
International Journal of Heavy Vehicle Systems,INT J HEAVY VEH SYST,INDERSCIENCE ENTERPRISES LTD,1744-232X,1741-5152,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,312,0.5,Q4,0.12,0%,
International Journal of Intelligent Transportation Systems Research,INT J INTELL TRANSP,SPRINGER,1348-8503,1868-8659,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,390,1.1,Q3,0.31,18.94%,
International Journal of Rail Transportation,INT J RAIL TRANSP,TAYLOR & FRANCIS LTD,2324-8378,2324-8386,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,876,3.4,Q2,0.69,13.97%,
International Journal of Transportation Science and Technology,INT J TRANSP SCI TEC,KEAI PUBLISHING LTD,2046-0430,2046-0449,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,"1,162",4.3,Q2,1.3,92.55%,
JOURNAL OF ADVANCED TRANSPORTATION,J ADV TRANSPORT,WILEY-HINDAWI,0197-6729,2042-3195,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"5,800",2.0,Q3,0.43,99.74%,
Journal of Eta Maritime Science,J ETA MARIT SCI,GALENOS PUBL HOUSE,,2148-9386,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,133,1.0,Q4,0.23,100%,
Journal of Intelligent Transportation Systems,J INTELL TRANSPORT S,TAYLOR & FRANCIS INC,1547-2450,1547-2442,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"1,792",2.8,Q2,0.67,5.81%,
Journal of Traffic and Transportation Engineering-English Edition,J TRAFFIC TRANSP ENG,KEAI PUBLISHING LTD,2095-7564,2095-7564,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,"2,246",7.4,Q1,1.01,98.88%,
Journal of Transportation Engineering Part A-Systems,J TRANSP ENG A-SYST,ASCE-AMER SOC CIVIL ENGINEERS,2473-2907,2473-2893,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"1,527",1.8,Q3,0.45,1.47%,
Journal of Transportation Engineering Part B-Pavements,J TRANSP ENG B-PAVE,ASCE-AMER SOC CIVIL ENGINEERS,,2573-5438,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,869,1.9,Q3,0.46,0.43%,
Maritime Transport Research,MARIT TRANSPORT RES,ELSEVIER,2666-822X,2666-822X,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,290,3.9,Q2,0.81,98.75%,
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,SPRINGER,1566-113X,1572-9427,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"1,254",1.6,Q3,0.42,24.27%,
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,P I CIVIL ENG-TRANSP,EMERALD GROUP PUBLISHING LTD,0965-092X,1751-7710,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,565,1.0,Q4,0.38,3.25%,
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,P I MECH ENG D-J AUT,SAGE PUBLICATIONS LTD,0954-4070,2041-2991,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"4,409",1.5,Q3,0.34,2.85%,
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,P I MECH ENG F-J RAI,SAGE PUBLICATIONS LTD,0954-4097,2041-3017,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"3,445",1.7,Q3,0.4,13.42%,
Promet-Traffic & Transportation,PROMET-ZAGREB,"SVEUCILISTE U ZAGREBU, FAKULTET PROMETNIH ZNANOSTI",0353-5320,1848-4069,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,580,0.8,Q4,0.16,43.14%,
Public Transport,PUBLIC TRANSPORT,SPRINGER HEIDELBERG,1866-749X,1613-7159,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,721,2.3,Q2,0.49,33.72%,
Railway Engineering Science,RAILWAY ENG SCI,SPRINGER,2662-4745,2662-4753,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,488,4.4,Q2,1.08,98.89%,
SAE International Journal of Commercial Vehicles,SAE INT J COMMER VEH,SAE INT,1946-391X,1946-3928,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,317,0.6,Q4,0.12,0%,
SAE International Journal of Electrified Vehicles,SAE INT J ELECTR VEH,SAE INT,2691-3747,2691-3755,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,45,0.7,Q4,0.14,0%,
SAE International Journal of Engines,SAE INT J ENGINES,SAE INT,1946-3936,1946-3944,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,"2,341",1.1,Q3,0.31,0%,
SAE International Journal of Fuels and Lubricants,SAE INT J FUELS LUBR,SAE INT,1946-3952,1946-3960,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,927,1.0,Q4,0.19,0%,
SAE International Journal of Materials and Manufacturing,SAE INT J MATER MANU,SAE INT,1946-3979,1946-3987,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,492,0.6,Q4,0.14,0%,
SAE International Journal of Passenger Cars-Mechanical Systems,SAE INT J PASSEN CAR,SAE INT,1946-3995,1946-4002,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,588,1.3,Q3,0.13,0%,
SAE International Journal of Passenger Vehicle Systems,SAE INT J PASS VEH S,SAE INT,2770-3460,2770-3479,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,9,0.5,Q4,0.12,0%,
SAE International Journal of Transportation Safety,SAE INT J TRANSP SAF,SAE INT,2327-5626,2327-5634,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,128,0.7,Q4,0.15,0%,
SAE International Journal of Vehicle Dynamics Stability and NVH,SAE INT J VEH DYN ST,SAE INT,2380-2162,2380-2170,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,410,2.8,Q2,0.58,0%,
Scientific Journal of Silesian University of Technology-Series Transport,SCI J SIL UNIV TECH,FAC TRANSPORT SILESIAN UNIV TECHNOLOGY,0209-3324,2450-1549,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,202,0.4,Q4,0.1,99.02%,
TRANSPORTATION,TRANSPORTATION,SPRINGER,0049-4488,1572-9435,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"6,149",3.5,Q2,0.89,39.7%,
TRANSPORTATION PLANNING AND TECHNOLOGY,TRANSPORT PLAN TECHN,TAYLOR & FRANCIS LTD,0308-1060,1029-0354,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"1,183",1.3,Q3,0.31,14%,
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,PERGAMON-ELSEVIER SCIENCE LTD,0965-8564,1879-2375,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"20,629",6.3,Q1,1.69,28.85%,
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,PERGAMON-ELSEVIER SCIENCE LTD,0191-2615,1879-2367,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"17,027",5.8,Q1,1.47,25.71%,
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,TRANSPORT RES C-EMER,PERGAMON-ELSEVIER SCIENCE LTD,0968-090X,1879-2359,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"27,650",7.6,Q1,1.68,26.11%,
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,PERGAMON-ELSEVIER SCIENCE LTD,1361-9209,1879-2340,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"20,643",7.3,Q1,1.63,31.84%,
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,PERGAMON-ELSEVIER SCIENCE LTD,1366-5545,1878-5794,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"17,564",8.3,Q1,2.2,13.21%,
TRANSPORTATION RESEARCH RECORD,TRANSPORT RES REC,SAGE PUBLICATIONS INC,0361-1981,2169-4052,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"30,482",1.6,Q3,0.36,9.62%,
TRANSPORTATION SCIENCE,TRANSPORT SCI,INFORMS,0041-1655,,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"7,704",4.4,Q2,0.92,0%,
TransNav-International Journal on Marine Navigation and Safety of Sea Transportation,TRANSNAV,GDYNIA MARITIME UNIV,2083-6473,2083-6481,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,670,0.7,Q4,0.12,94.66%,
Transport,TRANSPORT-VILNIUS,VILNIUS GEDIMINAS TECH UNIV,1648-4142,1648-3480,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"1,009",1.3,Q3,0.25,97.73%,
Transport Problems,TRANSP PROBL,"SILESIAN UNIV TECHNOLOCY, FAC TRANSPORT",1896-0596,2300-861X,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,308,0.5,Q4,0.12,100%,
Transport and Telecommunication Journal,TRANSP TELECOMMUN J,SCIENDO,1407-6160,1407-6179,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,258,1.1,Q3,0.25,100%,
Transportation Letters-The International Journal of Transportation Research,TRANSP LETT,TAYLOR & FRANCIS LTD,1942-7867,1942-7875,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"1,710",3.3,Q2,0.68,7.24%,
Transportation Safety and Environment,TRANSP SAFETY ENV,OXFORD UNIV PRESS,,2631-4428,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,423,2.7,Q2,0.46,88.72%,
Transportmetrica A-Transport Science,TRANSPORTMETRICA A,TAYLOR & FRANCIS LTD,2324-9935,2324-9943,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"2,044",3.6,Q2,0.81,16.14%,
Transportmetrica B-Transport Dynamics,TRANSPORTMETRICA B,TAYLOR & FRANCIS LTD,2168-0566,2168-0582,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"1,006",3.3,Q2,0.77,8.93%,
Urban Rail Transit,URBAN RAIL TRANSIT,SPRINGER HEIDELBERG,2199-6687,2199-6679,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,316,1.7,Q3,0.37,100%,
Vehicles,VEHICLES-BASEL,MDPI,,2624-8921,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,423,2.4,Q2,0.57,100%,
Vehicular Communications,VEH COMMUN,ELSEVIER,2214-2096,2214-2096,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,"2,232",5.8,Q1,1.42,16.73%,
World Electric Vehicle Journal,WORLD ELECTR VEHIC J,MDPI,2032-6653,2032-6653,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,"2,586",2.6,Q2,0.57,99.76%,
